Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,relevant_to_barrier_immune
prerank,Regulation of actin cytoskeleton,0.43367639936933866,1.7924095365715338,0.0,0.0019562419888974735,0.145,79/198,16.55%,MSN;ITGAX;ARPC1B;ENAH;FGD3;CXCR4;BCAR1;MYH9;LIMK1;PIK3CD;ARHGEF1;ITGA6;PFN1;ITGB2;ACTB;ITGAM;CFL1;ARPC5L;BDKRB2;ITGB6;IQGAP3;ACTR3C;ITGAL;HRAS;RRAS2;VCL;RAC2;ACTN1;NCKAP1L;PAK1;PIP4K2C;SRC;ARPC4;PPP1CA;GNA12;VAV1;MAPK3;BAIAP2;ITGAE;VAV2;MAP2K2;PAK4;ARPC3;ARPC2;ARAF;CYFIP1;DIAPH3;ITGA4;ITGAV;PIP4K2A;ITGA3;ACTR2;PIK3R3;ITGB4;ARHGEF4;RAC1;PPP1R12C;CYFIP2;ARPC1A;MAP2K1;PAK6;EZR;CRK;LPAR5;RRAS;LPAR2;ITGA10;ITGB7;RHOA;TIAM1;DIAPH1;MYLK4;PIP5K1C;ACTG1;PAK2;IQGAP2;MYL12A;ROCK2;BDKRB1,False
prerank,Base excision repair,0.5775381134994657,1.7844166994411776,0.003389830508474576,0.0021371144594024565,0.158,14/33,15.74%,POLB;POLE2;PARP3;POLE4;PARP4;PCNA;APEX2;TDG;FEN1;POLD3;POLD2;PARP1;POLD1;MPG,False
prerank,Starch and sucrose metabolism,0.5983547611565907,1.78017270493716,0.0,0.0021928652713868687,0.165,12/28,18.62%,PYGL;GYS1;GPI;PGM2;HK2;GYG1;HK3;PGM2L1;PGM1;GANC;GAA;HK1,False
prerank,Insulin signaling pathway,0.45263231498604745,1.7822219095752458,0.0,0.0021997755611076254,0.164,44/130,12.37%,SOCS3;PYGL;PPP1R3C;FLOT2;GYS1;SHC1;PHKA1;EIF4EBP1;SOCS1;PIK3CD;SREBF1;AKT1;FLOT1;HK2;HRAS;RPS6KB2;PRKCI;MKNK1;CALM1;PPP1CA;PHKG2;EIF4E2;GRB2;MAPK3;PRKAR1B;IKBKB;MAP2K2;HK3;TRIP10;ARAF;CALML5;PDE3B;AKT2;PIK3R3;SOCS2;MAPK8;EIF4E;EXOC7;PTPN1;MTOR;PRKAB1;MAP2K1;CALML3;CRK,False
prerank,Transcriptional misregulation in cancer,0.43957626984414866,1.7648397908234383,0.0,0.0025485262709816396,0.188,60/154,17.58%,NR4A3;PLAT;BIRC3;BAX;NTRK1;CXCL8;PML;PLAU;CCND2;MMP9;GZMB;DDX5;HDAC1;NFKB1;ITGAM;EWSR1;MMP3;RARA;REL;BAK1;CDKN1A;RELA;CDK9;CSF2;HMGA2;ZBTB17;CCNA2;BCL2A1;IGFBP3;TRAF1;TFE3;ETV4;DOT1L;SPI1;PRCC;BMP2K;MYC;IL6;NFKBIZ;GADD45G;CD40;ERG;FLT1;RUNX1;CEBPB;SMAD1;FLT3;BIRC2;MEN1;ITGB7;DUSP6;TCF3;CD86;PER2;GADD45A;MAF;DDB2;JUP;FCGR1A;FLI1,False
prerank,Focal adhesion,0.4277876967843432,1.7628512039299535,0.0,0.0025725724751413568,0.192,71/193,16.31%,TNC;PGF;COL4A4;COL6A6;BIRC3;SHC1;CAPN2;FLNA;BCAR1;ZYX;CCND3;VEGFA;CCND2;PIK3CD;COL4A2;ITGA6;ACTB;AKT1;ITGB6;COL4A1;HRAS;VCL;THBS1;RAC2;FLNB;ACTN1;JUN;PAK1;COMP;SRC;PARVG;PPP1CA;GRB2;VAV1;MAPK3;VAV2;VWF;PAK4;LAMB3;FLT1;ITGA4;ITGAV;AKT2;ITGA3;PIK3R3;COL6A5;ITGB4;RAC1;PPP1R12C;MAPK8;THBS2;COL6A3;BIRC2;MAP2K1;LAMA4;PAK6;RAP1B;CRK;VASP;ITGA10;ITGB7;RHOA;DIAPH1;ELK1;MYLK4;PIP5K1C;ACTG1;PAK2;COL6A1;MYL12A;ROCK2,False
prerank,Endocytosis,0.4172178694149768,1.759267842664334,0.0,0.0026630833326293777,0.2,92/241,19.22%,RAB31;ARPC1B;PLD2;AGAP2;CXCR4;LDLR;IL2RA;IL2RG;CCR5;PML;TGFBR1;HGS;CXCR1;DNM2;ARRB2;RAB35;ARPC5L;AP2S1;EHD4;ACTR3C;HRAS;PRKCI;HSPA8;SRC;ARPC4;CYTH2;CYTH4;HSPA6;CYTH1;CAPZB;ARAP3;ARFGAP1;ARAP2;VPS37B;SMAP2;EPN1;RAB7A;ASAP1;HLA-B;GRK6;SNX5;RAB10;PIP5KL1;NEDD4;ARPC3;HLA-F;ARPC2;EPN3;CAPZA1;AP2M1;CBLC;GBF1;STAM;ACTR2;VPS25;LDLRAP1;ARF3;ARF4;RAB5A;HLA-A;EHD1;ARPC1A;ARRB1;RAB8A;GRK5;HLA-E;ZFYVE27;RAB22A;CLTA;CHMP1A;RHOA;HLA-C;PIP5K1C;AP2A1;CBL;CLTB;BIN1;GRK4;CHMP6;ARFGEF2;VPS29;RABEP1;RUFY1;RNF41;ARPC5;CLTC;SH3GL1;IST1;VPS28;ACTR3;RAB5C;DNAJC6,False
prerank,Vascular smooth muscle contraction,0.4495433441110833,1.7545335229076366,0.0,0.002774239834264637,0.209,43/119,18.96%,PLA2G2F;PLA2G4E;PLA2G3;PLA2G4D;MYH9;PLCB3;ARHGEF1;ADCY3;PRKCQ;PLCB2;ADM;ADCY7;CALM1;EDNRA;PPP1CA;GNA12;MAPK3;ADCY9;RAMP3;PLA2G2A;MAP2K2;EDN2;ARAF;CALML5;PLA2G4B;PPP1R12C;RAMP1;PRKCH;MYL6;MAP2K1;CALML3;PLA2G4F;MYL6B;RHOA;PTGIR;MYLK4;ADCY4;ROCK2;AVPR1A;CALML4;CACNA1C;ADORA2B;PPP1R12B,False
prerank,Complement and coagulation cascades,0.4942151964164783,1.7506851445764755,0.0015698587127158557,0.0028616891791598633,0.215,29/65,16.74%,SERPINE1;ITGAX;PLAUR;PLAT;F12;PLAU;ITGB2;ITGAM;SERPINA1;BDKRB2;PROCR;VWF;CFB;C5AR1;THBD;F2RL2;C1QC;C1R;PROC;C1QB;SERPINF2;F13A1;C2;C3AR1;A2M;C1S;BDKRB1;C9;MASP1,False
prerank,Bacterial invasion of epithelial cells,0.48411306667321524,1.7474979435323124,0.0015625,0.0029368731313216987,0.222,29/69,15.49%,ARPC1B;SHC1;BCAR1;PIK3CD;DNM2;HCLS1;ACTB;ARPC5L;CDH1;ACTR3C;MAD2L2;RHOG;VCL;SRC;ARPC4;CTTN;ARPC3;ARPC2;ACTR2;PIK3R3;ELMO3;RAC1;ARPC1A;CRK;CLTA;RHOA;ACTG1;CBL;CLTB,False
