Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,relevant_to_barrier_immune
prerank,Staphylococcus aureus infection,0.5099376723392549,2.060857538159492,0.0,0.0003630453738858409,0.006,34/83,21.60%,DEFB4A;DEFB4B;HLA-DMA;PTAFR;FPR3;SELPLG;HLA-DMB;KRT16;C1QB;ITGAM;FCGR2A;C1QC;IL10;C4A;HLA-DRA;C5AR1;DEFB103B;DEFB103A;HLA-DPB1;HLA-DPA1;ITGB2;C3AR1;ITGAL;HLA-DOB;C1QA;HLA-DRB1;CFB;ICAM1;FPR1;CAMP;HLA-DQA1;KRT18;KRT20;SELP,False
prerank,Th1 and Th2 cell differentiation,0.5096906073165662,2.0424113044214627,0.0,0.00037896841660013214,0.007,38/86,15.42%,IL13;TYK2;IKBKB;IL4R;IL2RA;JAK3;HLA-DMA;LCK;MAPK11;STAT6;CD3G;CD3E;CD3D;CD247;IL12RB1;RUNX3;HLA-DMB;IL2RG;NOTCH1;NFKBIA;ZAP70;LAT;NFKBIE;IKBKG;PLCG1;IFNGR2;HLA-DRA;IFNGR1;HLA-DPB1;HLA-DPA1;STAT4;RELA;CD4;STAT5A;IL12RB2;HLA-DOB;HLA-DRB1;NFKBIB,True
prerank,Human T-cell leukemia virus 1 infection,0.4494806398366083,2.0617157102964856,0.0,0.00038573570975370595,0.006,82/209,16.35%,ETS2;BAX;IKBKB;ANAPC2;RELB;IL2RA;HLA-F;KAT2A;NFKB2;ANAPC5;JAK3;HLA-DMA;LCK;CCND3;AKT1;ZFP36;ADCY3;CDKN2A;ANAPC7;IL15RA;TNF;ADCY6;MAP3K3;CD3G;CD3E;ADCY9;CD3D;IL15;PIK3CD;ATF4;SRF;LTA;HLA-DMB;CSF2;MAP3K14;ADCY4;CRTC2;IL2RG;TGFB1;RANBP3;NFKBIA;ADCY7;ADCY2;HRAS;CD40;FOSL1;AKT2;ETS1;CRTC1;SPI1;MAP2K2;LTBR;IKBKG;ADCY5;ATF6B;TNFRSF1A;HLA-DRA;TCF3;HLA-DPB1;HLA-DPA1;MYC;RELA;MSX1;ITGB2;HLA-B;VAC14;ANAPC4;CD4;ITGAL;B2M;STAT5A;TNFRSF13C;CCNB2;HLA-E;HLA-DOB;POLB;HLA-DRB1;SLC25A4;MAD1L1;KAT5;HLA-C;ICAM1,False
prerank,Graft-versus-host disease,0.616396303557708,2.0364548353189726,0.0,0.0004114514237372863,0.008,18/32,21.99%,HLA-F;HLA-DMA;TNF;HLA-DMB;CD28;HLA-DRA;HLA-DPB1;HLA-DPA1;FASLG;HLA-B;HLA-E;HLA-DOB;HLA-DRB1;HLA-C;HLA-A;HLA-DQA1;GZMB;CD86,False
prerank,Necroptosis,0.47985220085854535,2.025506868473405,0.0,0.0004675584360650981,0.01,43/117,16.43%,ALOX15;TNFRSF10B;BIRC3;TYK2;BAX;PLA2G4E;IRF9;JAK3;PLA2G4B;TRADD;PLA2G4F;RNF31;RIPK3;FTH1;STAT6;CAPN2;TNF;JMJD7-PLA2G4B;STAT2;GLUD2;MLKL;CHMP4A;TRAF5;CASP8;STAT3;SPATA2L;IFNGR2;TNFRSF1A;IFNGR1;FASLG;STAT4;TNFRSF10A;USP21;SHARPIN;TNFAIP3;GLUL;STAT5A;NLRP3;TNFSF10;SLC25A4;IFNAR2;CAMK2G;CYLD,False
prerank,Herpes simplex virus 1 infection,-0.405080963880221,-2.233504969278755,0.0,0.0004726678659275304,0.001,182/462,15.63%,ZNF585B;ZNF417;ZNF460;ZNF667;ZNF436;ZNF610;ZNF675;ZNF283;ZNF772;ZNF791;IFNAR1;ZNF415;ZNF492;ZNF549;ZNF548;ZNF430;ZNF677;ZNF14;ZNF256;ZNF383;ZNF189;ZIK1;ZNF850;ZNF234;ZNF91;ZNF347;ZNF615;ZNF836;ZNF253;ZNF8;ZNF790;ZNF805;ZNF85;ZNF813;ZNF607;ZNF208;ZNF699;ZNF616;ZNF623;ZNF566;ZNF619;TAB2;PIK3CA;ZNF721;ZNF816;ZNF221;ZNF737;ZNF420;ZNF714;ZNF160;ZNF573;ZNF486;ZNF561;ZNF227;ZNF184;ZNF614;HCFC2;ZNF676;EIF2AK1;ZNF320;SRPK1;ZNF627;ZNF12;ZNF268;ZNF254;ZNF107;ZFP14;ZNF214;ZNF829;ZNF93;PIK3R1;ZNF17;ZNF112;ZNF730;ZNF766;ZNF717;ZNF780A;ZNF529;ZNF845;ZNF726;PPP1CB;ZNF595;ZNF571;ZNF431;ZNF680;ZNF317;ZNF543;ZNF567;ZNF285;ZNF583;ZNF416;ZNF33A;ZNF429;PIK3CB;ZNF439;ZNF425;EIF2AK3;ZNF286A;ZNF555;ZNF480;EIF2AK2;ZNF136;ZNF599;ZNF585A;ZNF426;ZNF879;ZNF404;ZNF506;ZNF229;ZNF44;ZNF433;ZNF568;ZNF510;ZNF765;ZNF665;TRAF6;ZNF461;ZNF490;RBAK;ZNF860;ZNF471;ZFP30;ZNF37A;ZNF441;ZNF235;ZNF808;ZNF443;ZNF570;ZNF569;MAP3K7;ZNF442;ZNF761;ZNF43;ZNF736;POU2F1;ZNF155;ZNF230;ZFP82;ZNF175;ZNF135;ZNF226;ZNF225;ZNF547;ZNF302;ZNF468;ZNF181;PTPN11;ZNF534;ZNF780B;ZNF546;ZNF418;ZNF77;ZNF814;ZNF563;ZNF606;ZNF782;ZNF98;EIF2S1;ZNF90;ZNF132;ZNF701;ZNF527;ZNF354C;ZNF773;CASP3;ZFP28;ZNF624;ZNF674;ZNF551;ZNF200;ZNF605;ZNF649;ZNF41;ZNF544;ZNF84;ZNF853;ZNF557;ZNF684;ZNF20;ZNF124;ZFP90;ZNF334,False
prerank,Influenza A,0.46445566904681873,2.0269194737513754,0.0,0.0004898231234967695,0.01,51/149,16.87%,TNFRSF10B;SOCS3;TYK2;TMPRSS4;IRF3;BAX;IKBKB;BCL2L2-PABPN1;PABPN1;IRF9;NXF1;HLA-DMA;CCND3;TRADD;AKT1;IRF7;TNF;CCL2;STAT2;CIITA;PIK3CD;HLA-DMB;TRAF3;CXCL8;NFKBIA;IRAK4;AKT2;CASP8;MAP2K2;IKBKG;IFNGR2;TNFRSF1A;HLA-DRA;PRKCA;IFNGR1;HLA-DPB1;HLA-DPA1;FASLG;TNFRSF10A;RELA;CPSF4;PML;NLRP3;HLA-DOB;HLA-DRB1;NFKBIB;TNFSF10;SLC25A4;IFNAR2;ICAM1;IKBKE,False
prerank,Osteoclast differentiation,0.46411626259053895,2.0039308985029405,0.0,0.0005813987509331221,0.013,44/124,13.19%,SOCS3;CSF1;TYK2;NCF2;IKBKB;RELB;SOCS1;IRF9;NFKB2;LCK;MAPK11;AKT1;TNF;STAT2;LILRB4;CYBA;PIK3CD;MAP3K14;TNFSF11;PLCG2;TGFB1;NFKBIA;LILRB2;FCGR2A;FOSL1;AKT2;JUND;SPI1;LILRB5;BTK;IKBKG;TYROBP;LCP2;IFNGR2;TNFRSF1A;OSCAR;IFNGR1;NCF4;RELA;ITGB3;TNFRSF11B;CAMK4;SIRPG;LILRB1,False
prerank,Biosynthesis of unsaturated fatty acids,-0.638973207727542,-2.207688809504797,0.0,0.0006302238212367071,0.002,19/27,19.74%,HSD17B12;ACOX1;SCD5;ELOVL4;ELOVL1;SCP2;ELOVL6;HACD4;ACOT2;ELOVL5;ELOVL7;ELOVL3;HACD3;FADS1;ACOT4;ACOT1;FADS2;HSD17B4;TECR,False
prerank,JAK-STAT signaling pathway,0.46283418703672613,1.9851891045608026,0.0,0.000781757705100844,0.019,44/132,10.61%,IL13;SOCS3;TYK2;IL22;IL4R;IL2RA;SOCS1;IL20;IRF9;JAK3;CCND3;CSF2RB;AKT1;OSMR;STAT6;IL22RA2;IL15RA;OSM;STAT2;IL15;IL11;PIK3CD;IL12RB1;CISH;CSF2;IL21R;IL2RG;IL27RA;IL7R;IL10RA;IL13RA2;HRAS;IL11RA;AKT2;STAT3;IL10;IFNGR2;IFNGR1;PTPN6;MYC;STAT4;PTPN2;PIM1;IL23A,False
prerank,Systemic lupus erythematosus,0.5465103023714222,1.9859181041520055,0.0,0.0008143309428133792,0.019,20/49,15.70%,HLA-DMA;TNF;HLA-DMB;CD40LG;CD28;C1QB;CD40;FCGR2A;C1QC;IL10;C4A;HLA-DRA;C9;HLA-DPB1;HLA-DPA1;C8G;HLA-DOB;C1QA;HLA-DRB1;ACTN1,False
prerank,Th17 cell differentiation,0.48109670070470095,1.9743067552704314,0.0,0.0009099406486497678,0.023,37/101,10.61%,TYK2;IL22;IKBKB;IL4R;FOXP3;IL2RA;JAK3;HLA-DMA;LCK;MAPK11;STAT6;CD3G;CD3E;CD3D;CD247;IL12RB1;HLA-DMB;IL21R;IL2RG;IL27RA;TGFB1;NFKBIA;ZAP70;LAT;NFKBIE;STAT3;IKBKG;PLCG1;IFNGR2;HLA-DRA;RARA;IFNGR1;IRF4;HLA-DPB1;HLA-DPA1;RELA;IL23A,False
