,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
PPM1F,536.7560127176386,0.3470382888093808,0.07844794896084084,4.423803214824816,9.697836115053387e-06,0.0017676683240301233,False
GPR55,14.441794134931508,1.2004358988070138,0.2724595905663372,4.405922714307014,1.053345178206148e-05,0.0019013391799231748,True
ZNF417,290.40906589288977,-0.2466307140439109,0.05605072998651617,-4.400133844880193,1.081841293693377e-05,0.0019339993588795448,False
RHOT2,399.2794323711606,0.41728738696672163,0.09488921729906777,4.397627031230884,1.0944083253191285e-05,0.0019378323413650701,False
CTC-444N24.11,1072.9159960330155,-0.2665916923960101,0.06066550473479622,-4.394452721714516,1.1105216837114016e-05,0.0019478131267511676,False
KLHDC10,1440.2771462120897,-0.18010206839181855,0.04108262993721058,-4.3838982233386945,1.1657425215383554e-05,0.0020255593420972994,False
LTF,931.2475369974188,2.209466220927434,0.5043959822219214,4.380419945445413,1.1845080478779585e-05,0.0020352992732739776,True
RP11-53O19.3,175.9418123512881,-0.33593283425614123,0.07671768162913618,-4.3788188996649655,1.193242366538638e-05,0.0020352992732739776,False
DUS1L,727.1099848035852,0.3761027799535293,0.0862609976462861,4.360055995361214,1.3002916604364113e-05,0.002147436680087509,False
TRABD,246.55001695951282,0.39139554782954716,0.08971828716341133,4.36249465080253,1.285877311063445e-05,0.002147436680087509,False
CTD-2382E5.2,36.0247931936524,0.7793657543493572,0.17878503715602412,4.359233673840455,1.3051868806469907e-05,0.002147436680087509,False
NPEPL1,66.95298215096841,0.6066746007647116,0.13901752589864563,4.3640152336405675,1.2769667900746363e-05,0.002147436680087509,False
IRF3,301.3507389666944,0.4102285977015321,0.09419051473695439,4.355306888885536,1.3288061890198094e-05,0.002167119707566342,False
ETS2,4008.868592792221,0.43381814669650487,0.09973286302624097,4.3498013947755805,1.3626088497483972e-05,0.0021681255760619416,False
ATP6V1C2,786.1582895662297,0.5186490018661389,0.11924303094377313,4.349512065914346,1.364407768928825e-05,0.0021681255760619416,False
